,gas,oil,kohle,co2
2022-11-14,NaN,NaN,NaN,75.07
2022-11-15,NaN,NaN,NaN,77.48
2022-11-16,NaN,NaN,NaN,73.65
2022-11-17,NaN,NaN,NaN,72.13
2022-11-18,NaN,NaN,NaN,72.43
2022-11-21,NaN,NaN,NaN,74.35
2022-11-22,NaN,NaN,NaN,73.93
2022-11-23,NaN,NaN,NaN,75.93
2022-11-24,NaN,NaN,NaN,78.76
2022-11-25,NaN,NaN,NaN,79.21
2022-11-28,124.28,73.58,232.78,78.68
2022-11-29,124.28,76.26,247.88,81.79
2022-11-30,139.88,78.4,246.06,85.2
2022-12-01,136.75,79.94,251.82,85.18
2022-12-02,136.75,79.64,254.34,88.35
2022-12-05,134.99,76.75,249.92,87.33
2022-12-06,134.99,73.41,254.7,88.8
2022-12-07,139.57,71.76,250.57,88.37
2022-12-08,135.0,71.1,242.91,89.13
2022-12-09,135.0,70.09,239.24,87.84
