,gas,oil,kohle,co2
2022-12-19,106.53,73.8,230.5,NaN
2022-12-20,106.53,74.46,233.95,NaN
2022-12-21,94.29,75.79,228.0,NaN
2022-12-22,89.02,77.03,230.0,NaN
2022-12-23,83.5,77.98,228.7,NaN
2022-12-27,NaN,79.15,223.35,NaN
2022-12-28,77.63,77.3,227.35,NaN
2022-12-29,81.52,76.8,227.85,NaN
2022-12-30,75.14,77.72,228.35,NaN
2023-01-02,NaN,NaN,190.5,NaN
2023-01-03,67.89,76.62,185.0,83.16
2023-01-04,62.79,72.74,182.0,77.69
2023-01-05,62.79,72.45,177.75,78.71
2023-01-06,65.68,73.25,172.3,77.78
2023-01-09,72.08,73.51,172.6,81.15
2023-01-10,66.37,73.84,172.0,81.1
2023-01-11,66.37,74.29,165.0,79.15
2023-01-12,65.44,77.1,170.0,80.34
2023-01-13,63.25,77.98,169.0,79.95
2023-01-16,NaN,NaN,168.0,77.58
